,start_pin,destination_pin,travel_distance,quantity_tons,period,nifty_infra_price,amount
6635,342606,442401,1244,10.0,September 2023,6242.85,145176.5
6636,342606,700002,1827,27.7,August 2023,5947.0,1702124.0
6637,342606,734005,1808,19.1,August 2023,5947.0,286987.24
6638,342606,999999,1330,27.0,August 2023,5947.0,310500.0
6639,342902,301701,365,11.03,September 2023,6242.85,110367.01
6640,342902,483773,1134,27.94,August 2023,5947.0,318516.0
6641,342902,781355,2071,6.0,September 2023,6242.85,152514.18
6642,360311,387650,333,30.0,August 2023,5947.0,170922.66
6643,360560,370110,385,30.32,August 2023,5947.0,168181.24
6644,360560,382210,381,25.37,September 2023,6242.85,88795.08
6645,360560,382424,401,30.12,September 2023,6242.85,171778.12
6646,360560,382455,324,12.5,September 2023,6242.85,162109.36
6647,360560,382610,416,29.21,August 2023,5947.0,173434.38
6648,360560,390009,467,29.21,August 2023,5947.0,183474.92
6649,360560,396126,718,30.0,August 2023,5947.0,707812.48
6650,361140,370001,332,17.0,August 2023,5947.0,249864.21
6651,361345,365421,338,3.5,September 2023,6242.85,20234.38
6652,362275,382245,348,5.0,September 2023,6242.85,32421.88
6653,362275,390021,492,29.52,September 2023,6242.85,169278.94
6654,362715,370421,491,24.0,August 2023,5947.0,292500.0
6655,362715,370625,569,17.0,September 2023,6242.85,107578.12
6656,362715,382220,412,12.0,September 2023,6242.85,235687.5
6657,362715,382424,459,24.0,September 2023,6242.85,534375.0
6658,362715,391320,508,31.56,September 2023,6242.85,192318.74
6659,362715,391350,450,35.0,August 2023,5947.0,696311.0
6660,362715,391440,503,30.0,August 2023,5947.0,369374.98
6661,362715,395007,692,29.32,September 2023,6242.85,191658.14
6662,362715,395007,692,2415.1,September 2023,6242.85,10064301.36
6663,365540,395007,538,1623.0,September 2023,6242.85,4606755.66
6664,365560,363641,314,30.0,August 2023,5947.0,4247344.8
6665,365560,380024,318,24.63,August 2023,5947.0,150089.06
6666,365560,380054,308,29.64,September 2023,6242.85,178303.27
6667,365560,380058,308,29.46,September 2023,6242.85,179521.88
