,start_pin,destination_pin,travel_distance,Quantity (In TON),period,nifty_infra_price,amount,distance_per_ton,route_frequency,avg_route_price,period_dt,year,month,month_sin,month_cos
69,345,558,528,40.46,October 2023,6095.4,141610.0,13.049925852694019,111,1565650.7657657657,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
70,345,558,528,41.81,October 2023,6095.4,292670.0,12.628557761301124,111,1565650.7657657657,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
71,345,558,528,44.73,October 2023,6095.4,469665.0,11.804158283031523,111,1565650.7657657657,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
72,345,558,528,45.81,October 2023,6095.4,641340.0,11.525867714472822,111,1565650.7657657657,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
73,345,1009,700,45.0,November 2023,6585.6,213750.0,15.555555555555555,2,117023.44,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
74,345,1357,387,35.0,October 2023,6095.4,196875.0,11.057142857142857,2,162187.5,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
75,345,1362,386,44.04,November 2023,6585.6,1233120.0,8.764759309718437,102,787416.611764706,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
76,345,1362,386,47.04,November 2023,6585.6,329280.0,8.20578231292517,102,787416.611764706,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
77,345,1562,346,15.0,October 2023,6095.4,93047.0,23.066666666666666,1,93047.0,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
78,345,1588,304,10.0,November 2023,6585.6,59687.5,30.4,3,127916.5,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
79,345,1735,368,10.0,November 2023,6585.6,499220.5,36.8,10,173179.713,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
80,345,1787,418,40.08,November 2023,6585.6,140280.0,10.429141716566866,147,684781.224489796,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
81,345,2052,502,41.98,November 2023,6585.6,459156.26,11.958075273939972,6,367639.70166666666,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
82,345,2121,507,21.0,October 2023,6095.4,99750.0,24.142857142857142,1,99750.0,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
83,345,3233,465,40.24,October 2023,6095.4,383537.28,11.555666003976143,1,383537.28,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
84,346,127,573,41.0,October 2023,6095.4,199629.0,13.975609756097562,3,451460.0,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
85,346,141,471,41.91,October 2023,6095.4,126700.82,11.238367931281317,32,248155.5865625,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
86,346,176,718,22.5,October 2023,6095.4,85950.0,31.91111111111111,1,85950.0,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
87,346,1344,370,33.0,October 2023,6095.4,209343.78,11.212121212121213,3,174734.52666666664,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
88,346,1348,390,10.0,November 2023,6585.6,110468.74,39.0,1,110468.74,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
89,346,1677,359,36.0,November 2023,6585.6,0.0,9.972222222222221,1,0.0,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
90,346,1728,392,36.0,October 2023,6095.4,826875.0,10.88888888888889,1,826875.0,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
91,346,1762,442,5.0,November 2023,6585.6,33515.72,88.4,1,33515.72,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
92,346,1767,544,36.0,November 2023,6585.6,188437.5,15.11111111111111,2,194179.69,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
93,346,1775,433,43.0,October 2023,6095.4,228437.5,10.069767441860465,3,139921.90666666668,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
94,346,1862,305,25.0,October 2023,6095.4,144141.12,12.2,3,134531.34666666665,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
95,346,1885,448,31.0,October 2023,6095.4,189874.96,14.451612903225806,5,498815.808,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
96,347,558,573,42.17,November 2023,6585.6,460833.76,13.587858667299027,26,1147483.8465384615,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
97,347,1333,437,41.08,October 2023,6095.4,418707.9,10.63777994157741,14,329162.71142857143,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
98,347,1857,349,22.0,November 2023,6585.6,138531.24,15.863636363636363,3,84723.95333333332,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
99,348,365,917,22.0,October 2023,6095.4,146781.25,41.68181818181818,3,234812.5,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
100,348,1388,427,40.83,November 2023,6585.6,204150.0,10.457996571148666,3,262698.9533333333,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
101,348,1563,603,20.0,October 2023,6095.4,246875.0,30.15,1,246875.0,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
102,348,1667,465,10.0,November 2023,6585.6,199218.72,46.5,2,146949.66,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
103,348,1775,697,14.0,October 2023,6095.4,94718.74,49.785714285714285,2,108921.87,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
104,348,1944,554,31.0,October 2023,6095.4,92599.48,17.870967741935484,1,92599.48,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
105,348,1955,579,34.0,October 2023,6095.4,210056.42,17.029411764705884,4,129956.9625,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
106,348,1996,500,30.0,October 2023,6095.4,185582.1,16.666666666666668,3,468735.7,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
107,348,2264,341,15.0,October 2023,6095.4,97265.62,22.733333333333334,1,97265.62,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
108,348,2311,353,36.66,November 2023,6585.6,206212.5,9.629023458810694,7,236786.4485714286,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
109,350,1862,316,40.95,November 2023,6585.6,422296.88,7.716727716727716,4,435992.3325,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
110,350,2101,372,29.6,October 2023,6095.4,354393.4,12.567567567567567,14,282063.6821428571,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
111,350,2252,354,39.91,October 2023,6095.4,174045.12,8.86995740415936,37,467570.5597297298,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
112,355,109,703,34.5,October 2023,6095.4,204304.69,20.3768115942029,5,191367.19,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
113,355,133,564,11.5,October 2023,6095.4,72054.69,49.04347826086956,1,72054.69,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
114,355,562,696,21.5,November 2023,6585.6,138070.31,32.372093023255815,1,138070.31,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
115,355,563,687,42.0,November 2023,6585.6,269718.75,16.357142857142858,1,269718.75,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
116,355,1271,592,42.5,November 2023,6585.6,956250.0,13.929411764705883,2,635625.0,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
117,355,1341,447,38.0,October 2023,6095.4,166250.0,11.763157894736842,1,166250.0,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
118,355,1715,517,30.0,November 2023,6585.6,361875.0,17.233333333333334,1,361875.0,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
119,355,1787,630,40.0,October 2023,6095.4,132045.6,15.75,4,110893.995,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
120,355,2245,437,42.48,November 2023,6585.6,232312.5,10.287193973634652,23,302521.26478260866,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
121,355,2297,403,42.0,October 2023,6095.4,480243.76,9.595238095238095,1,480243.76,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
122,355,3207,340,42.0,October 2023,6095.4,200156.25,8.095238095238095,1,200156.25,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
123,356,13,616,45.76,October 2023,6095.4,271700.0,13.461538461538462,10,296577.017,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
124,356,13,616,45.78,November 2023,6585.6,271819.0,13.45565749235474,10,296577.017,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
125,356,1366,349,20.0,October 2023,6095.4,608400.0,17.45,31,757705.3993548386,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
126,356,1366,349,39.44,October 2023,6095.4,425213.0,8.848884381338744,31,757705.3993548386,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
127,356,1402,381,3.5,October 2023,6095.4,19141.0,108.85714285714286,1,19141.0,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
