start_pin,destination_pin,bharat_sir_eway_data_oct23_nov23_020424.origin_from_state,bharat_sir_eway_data_oct23_nov23_020424.destination_from_state,bharat_sir_eway_data_oct23_nov23_020424.rtn_period,travel_distance,bharat_sir_eway_data_oct23_nov23_020424.transport_mode,bharat_sir_eway_data_oct23_nov23_020424.hsn_code_4d,quantity,bharat_sir_eway_data_oct23_nov23_020424.unit_quantity_code,Quantity (In TON),amount,bharat_sir_eway_data_oct23_nov23_020424.total_tax,bharat_sir_eway_data_oct23_nov23_020424.ewbs_count,bharat_sir_eway_data_oct23_nov23_020424.supplier_gstin_cnt,Cost pre Km per TON
312620,140301,8,3,202311,856,1,@2523,42.8,TON,42.8,150468.75,42131.25,1,1,4.107038551
312620,140401,8,3,202311,831,2,@2523,3951.4,MTS,3951.4,21535099.13,6029827.76,1,1,6.558354016
312620,203408,8,9,202311,694,1,@2523,29.5,TON,29.5,215257.81,60272.19,1,1,10.51422898
312620,281405,8,9,202310,660,1,@2523,17,TON,17,117937.5,33022.5,1,1,10.51136364
312620,385565,8,24,202311,420,1,@2523,42,TON,42,2432062.5,680977.5,18,1,137.8720238
312620,392002,8,24,202310,477,1,@2523,42,MTS,42,622440,174283.2,5,1,31.06918239
312620,394170,8,24,202310,619,1,@2523,39.27,MTS,39.27,220280.56,61678.44,1,1,9.062011763
312620,395003,8,24,202310,638,1,@2523,44.34,TON,44.34,252876.56,70805.44,1,1,8.93906731
312620,464114,8,23,202311,474,1,@2523,41.5,MTS,41.5,248351.56,69538.44,1,1,12.62526359
312622,181133,8,1,202310,1168,2,@2523,257.6,MTS,257.6,2898000,811440,2,1,9.631849315
312622,201008,8,9,202310,669,1,@2523,2066.91,MTS,2066.91,433617048.9,121412773.8,74,1,313.5874439
312622,201206,8,9,202311,684,2,@2523,1318,MTS,1318,60951226.32,17066343.42,9,1,67.61
312622,322701,8,8,202310,368,1,@2523,40.81,MTS,40.81,216803.13,60704.88,1,1,14.43614164
312622,388245,8,24,202310,402,1,@2523,41.44,MTS,41.44,822376.8,230265.56,7,1,49.36567164
313022,302036,8,8,202310,417,1,@2523,42,MTS,42,1013748.96,0,7,1,57.88220624
313022,370415,8,24,202310,573,1,@2523,40.96,MTS,40.96,589824,165150.72,4,1,25.13089005
326520,281004,8,9,202310,516,2,@2523,323.5,TON,323.5,1228653,344022.84,1,1,7.360465116
326520,321608,8,8,202310,411,1,@2523,42,TON,42,956808,267912,5,1,55.42857143
327025,311603,8,8,202310,315,1,@2523,42,MTS,42,190312.5,53287.5,1,1,14.38492063
327025,384265,8,24,202310,310,1,@2523,5,MTS,5,154687.5,43312.5,6,1,99.7983871
327025,396195,8,24,202310,510,1,@2523,22,MTS,22,89375,25025,1,1,7.965686275
327025,466665,8,23,202310,456,1,@2523,28,MTS,28,185640,51979.2,1,1,14.53947368
335804,141015,8,3,202310,304,1,@2523,21,MTS,21,199500,55860,2,1,31.25
335804,143112,8,3,202310,351,1,@2523,10,MTS,10,70781,19818.68,1,1,20.16552707
335804,144224,8,3,202311,422,1,@2523,27,MTS,27,1085400,303912,8,1,95.26066351
335804,176202,8,2,202311,473,1,@2523,5,MTS,5,75375,21105,3,1,31.87103594
