start_pin,destination_pin,bharat_sir_eway_data_jun23_jul23_020424.origin_from_state,bharat_sir_eway_data_jun23_jul23_020424.destination_from_state,bharat_sir_eway_data_jun23_jul23_020424.rtn_period,travel_distance,bharat_sir_eway_data_jun23_jul23_020424.transport_mode,bharat_sir_eway_data_jun23_jul23_020424.hsn_code_4d,quantity,bharat_sir_eway_data_jun23_jul23_020424.unit_quantity_code,Quantity (in TON),amount,bharat_sir_eway_data_jun23_jul23_020424.total_tax,bharat_sir_eway_data_jun23_jul23_020424.ewbs_count,bharat_sir_eway_data_jun23_jul23_020424.supplier_gstin_cnt,Cost pre Km per TON
312617,331023,8,8,202307,594,1,@2523,30,TON,30,188906.25,52893.76,1,1,10.60079966
312617,332713,8,8,202307,493,1,@2523,43,TON,43,1638205.9,0,10,1,77.27750837
312617,335001,8,8,202306,744,1,@2523,35,TON,35,1460396.9,182371.86,9,1,56.08283026
312617,335502,8,8,202306,643,1,@2523,30,TON,30,183750,51450,1,1,9.525660964
312617,335512,8,8,202306,740,1,@2523,45,TON,45,3223842.14,281334.38,17,1,96.81207628
312617,342002,8,8,202306,331,1,@2523,34,TON,34,162031.24,45368.76,1,1,14.39765772
312617,343030,8,8,202306,339,1,@2523,7.5,TON,7.5,42304.69,11845.32,1,1,16.63901278
312617,344032,8,8,202306,461,1,@2523,44.11,TON,44.11,227442.18,63683.82,1,1,11.18492371
312617,392130,8,24,202306,600,1,@2523,42,TON,42,459375,128625,2,1,18.22916667
312620,110037,8,7,202306,589,1,@2523,44.54,TON,44.54,241490.31,67617.29,1,1,9.205220618
312620,110096,8,7,202307,615,1,@2523,42,TON,42,383906.25,107493.75,2,1,14.86280488
312620,125121,8,6,202306,711,1,@2523,42,TON,42,590625,165375,4,1,19.77848101
312620,127021,8,6,202307,593,1,@2523,40.3,TON,40.3,226687.5,63472.5,1,1,9.485666105
312620,152128,8,3,202307,936,1,@2523,42.8,TON,42.8,268168.75,75087.25,1,1,6.694043803
312620,201308,8,9,202306,632,1,@2523,44.04,TON,44.04,240843.75,67436.25,1,1,8.653085443
312620,244715,8,5,202307,906,1,@2523,45,TON,45,791015.6,221484.4,5,1,19.40190336
312620,302022,8,8,202306,356,1,@2523,42,TON,42,118505.62,0,1,1,7.925737025
312620,303007,8,8,202306,319,1,@2523,39.76,MTS,39.76,273350,76538,2,1,21.55172414
312620,303012,8,8,202307,366,1,@2523,39.22,TON,39.22,189971.88,53192.12,1,1,13.23428997
312620,303103,8,8,202306,405,1,@2523,42,MTS,42,0,0,1,1,0
312620,341303,8,8,202307,368,1,@2523,25,MTS,25,141406.24,39593.76,1,1,15.37024348
312620,360004,8,24,202307,621,1,@2523,38.97,MTS,38.97,219206.25,61377.75,1,1,9.057971014
312620,382240,8,24,202306,464,1,@2523,44.94,TON,44.94,249276.56,69797.44,1,1,11.95447186
312620,383205,8,24,202307,333,1,@2523,42.86,MTS,42.86,396669.3,111067.41,3,1,27.79279279
312620,394305,8,24,202306,635,1,@2523,38.96,MTS,38.96,407862.5,114201.5,2,1,16.48622047
312620,395007,8,24,202306,667,1,@2523,39.32,MTS,39.32,675812.39,189227.51,3,1,25.76836162
312620,396170,8,24,202307,769,1,@2523,40.48,MTS,40.48,240350,67298,1,1,7.72106632
312620,451666,8,23,202306,439,1,@2523,34.5,MTS,34.5,372492.39,104297.82,2,1,24.59426166
312620,454441,8,23,202306,333,1,@2523,27,MTS,27,147656.25,41343.75,1,1,16.42267267
312620,476444,8,23,202306,652,1,@2523,42.71,MTS,42.71,213550,59794,1,1,7.668711656
312622,121002,8,6,202306,633,1,@2523,40.37,MTS,40.37,227081.25,63582.75,1,1,8.886255924
312622,122001,8,6,202307,558,1,@2523,39.83,MTS,39.83,220302.92,61684.82,1,1,9.912329911
312622,122101,8,6,202307,556,1,@2523,40.54,MTS,40.54,223603.64,62609.02,1,1,9.920197833
312622,160017,8,4,202306,835,1,@2523,41.5,MTS,41.5,201876.34,56525.38,1,1,5.825736671
312622,182144,8,1,202306,1252,2,@2523,419.1,MTS,419.1,5238750,1466850,2,1,9.984025559
312622,182201,8,1,202307,1281,2,@2523,587.1,MTS,587.1,3761109.38,1053110.63,1,1,5.000975807
312622,247667,8,5,202306,825,1,@2523,3960.28,MTS,3960.28,903941830.6,253103712.8,69,1,276.6690909
312622,301030,8,8,202306,479,1,@2523,39.74,MTS,39.74,204288.64,57200.82,1,1,10.73200437
312622,303108,8,8,202306,433,1,@2523,40.25,MTS,40.25,220117.19,61632.82,1,1,12.62990776
312622,304023,8,8,202307,309,1,@2523,14.5,MTS,14.5,89039.14,24930.96,1,1,19.87259011
312622,322027,8,8,202307,353,1,@2523,41.5,MTS,41.5,254836.15,71354.14,1,1,17.39555275
312622,388245,8,24,202307,402,1,@2523,40.59,MTS,40.59,135976.5,38073.42,1,1,8.333333333
312622,473551,8,23,202306,420,2,@2523,392.4,MTS,392.4,3650999.48,1022279.86,2,1,22.15304767
312622,823003,8,10,202306,1317,2,@2523,586.59,MTS,586.59,8280597.74,2318567.38,2,1,10.71867882
313022,123305,8,6,202306,614,1,@2523,42,MTS,42,1747200,489216,13,1,67.752443
313022,142038,8,3,202306,942,1,@2523,41.88,MTS,41.88,142392,39869.76,1,1,3.609341826
313022,142038,8,3,202307,942,1,@2523,48.04,MTS,48.04,182552,51114.56,1,1,4.033970276
313022,151401,8,3,202306,931,1,@2523,43.02,MTS,43.02,146268,40955.04,1,1,3.651987111
313022,304802,8,8,202306,363,1,@2523,35,MTS,35,166796.86,46703.12,1,1,13.12844235
313022,335513,8,8,202307,791,1,@2523,13,MTS,13,80703.74,0,2,1,7.848268015
313022,465691,8,23,202307,416,1,@2523,42,MTS,42,555187.5,155452.5,3,1,31.77584135
313201,457001,8,23,202306,305,1,@2523,42,MTS,42,283080,79262.4,2,1,22.09836066
324004,122101,8,6,202307,504,1,@2523,40,TON,40,828000,231840,5,1,41.07142857
326520,251001,8,9,202306,766,2,@2523,62.9,TON,62.9,238894.2,66890.38,1,1,4.958224543
326520,302026,8,8,202307,329,1,@2523,45,TON,45,2490750,0,15,1,168.2370821
326520,313301,8,8,202306,340,1,@2523,35,TON,35,645750,0,5,1,54.26470588
326520,466116,8,23,202306,317,1,@2523,45,TON,45,195469,54731,1,1,13.70269891
335804,143201,8,3,202307,358,1,@2523,42,MTS,42,232968.4,65231.15,1,1,15.49404097
