start_pin,destination_pin,bharat_sir_eway_data_aug23_sep23_020424.origin_from_state,bharat_sir_eway_data_aug23_sep23_020424.destination_from_state,bharat_sir_eway_data_aug23_sep23_020424.rtn_period,travel_distance,bharat_sir_eway_data_aug23_sep23_020424.transport_mode,bharat_sir_eway_data_aug23_sep23_020424.hsn_code_4d,quantity,bharat_sir_eway_data_aug23_sep23_020424.unit_quantity_code,Quantity (in TON),amount,bharat_sir_eway_data_aug23_sep23_020424.total_tax,bharat_sir_eway_data_aug23_sep23_020424.ewbs_count,bharat_sir_eway_data_aug23_sep23_020424.supplier_gstin_cnt,Cost pre Km per TON
313022,304804,8,8,202309,337,1,@2523,22,MTS,22,128906.24,36093.74,1,1,17.38686809
313022,335526,8,8,202308,766,1,@2523,42,MTS,42,242156.24,67803.74,1,1,7.526925277
313201,335512,8,8,202309,811,1,@2523,15,MTS,15,52365,0,1,1,4.304562269
313201,342901,8,8,202309,419,1,@2523,20,MTS,20,344375,96425,3,1,41.09486874
323603,456440,8,23,202309,476,1,@2523,11,TON,11,66687.5,18672.5,1,1,12.73634454
326520,281004,8,9,202308,516,2,@2523,194.7,TON,194.7,739470.6,207051.77,1,1,7.360465116
326520,282006,8,9,202308,534,2,@2523,65.9,TON,65.9,1501729.2,420484.2,6,1,42.6741573
326520,282006,8,9,202308,534,2,@2523,659,TON,659,2502882,700806.96,1,1,7.112359551
326520,282006,8,9,202308,534,2,@2523,919.6,TON,919.6,3492640.8,977939.42,1,1,7.112359551
326520,302001,8,8,202308,319,1,@2523,45,TON,45,1174214,328786,6,1,81.79825845
326520,321001,8,8,202308,476,2,@2523,518.2,TON,518.2,3824316,0,2,1,15.50420168
331302,304502,8,8,202308,381,1,@2523,11,MTS,11,69523.51,19466.58,1,1,16.58876402
335804,144001,8,3,202308,313,1,@2523,45.03,MTS,45.03,256811.67,71907.27,1,1,18.22084319
335804,144224,8,3,202308,422,1,@2523,49,MTS,49,2941225,823543,12,1,142.2393365
341026,203207,8,9,202309,591,1,@2523,43.68,TON,43.68,625765.15,175214.25,5,1,24.24048262
341026,301707,8,8,202308,467,1,@2523,17,TON,17,101203.12,28336.88,1,1,12.74759038
341026,304021,8,8,202309,332,1,@2523,34,TON,34,199218.74,55781.26,1,1,17.64871899
341026,322214,8,8,202309,386,1,@2523,17,TON,17,100406.24,28113.76,1,1,15.30116428
341026,335073,8,8,202308,437,1,@2523,34,TON,34,619437.48,173442.52,3,1,41.69050209
342606,122001,8,6,202308,538,1,@2523,12,MTS,12,164465.64,46050.38,1,1,25.4748513
342606,444601,8,27,202309,962,1,@2523,2,MTS,2,26447.89,7405.41,1,1,13.74630457
342606,457001,8,23,202309,494,1,@2523,8,MTS,8,114904.64,93446.89,1,1,29.07506073
342606,500070,8,36,202308,1738,1,@2523,23.9,MTS,23.9,375349.5,105097.86,1,1,9.036248562
342606,517501,8,37,202308,2202,1,@2523,20,MTS,20,281130,78716.4,1,1,6.383514986
342902,124106,8,6,202309,491,2,@2523,28,TON,28,17832241.5,4993027.5,50,1,1297.078957
342902,160101,8,4,202309,744,2,@2523,14,TON,14,617400,341451.6,5,1,59.27419355
342902,301030,8,8,202309,387,1,@2523,15,TON,15,189487.88,53056.6,1,1,32.64218432
342902,734001,8,19,202309,1743,2,@2523,27.9,TON,27.9,11060139.58,3096839.04,30,1,227.4358999
344704,335511,8,8,202309,814,1,@2523,10,TON,10,58359.38,16340.62,1,1,7.169457002
360311,370445,24,24,202309,342,1,@2523,17,TON,17,99609.46,27890.64,1,1,17.13269006
360311,370510,24,24,202308,372,1,@2523,20,MTS,20,109375,30625,1,1,14.70094086
360311,383315,24,24,202308,395,1,@2523,30,MTS,30,170922.66,47858.34,1,1,14.42385316
360560,380058,24,24,202309,383,1,@2523,25.11,MTS,25.11,286410.92,80195.08,2,1,29.78132977
361140,364510,24,24,202308,310,1,@2523,32,MTS,32,187500,52500,1,1,18.90120968
361345,370205,24,24,202308,400,1,@2523,25.8,TON,25.8,151172,42328.16,1,1,14.64844961
361345,370485,24,24,202309,461,1,@2523,6,TON,6,33750,9450,1,1,12.20173536
362275,363030,24,24,202308,341,1,@2523,35,MTS,35,245000.2,0,2,1,20.52787599
362275,382245,24,24,202308,348,1,@2523,10,MTS,10,127343.74,35656.26,2,1,36.59302874
362275,392130,24,24,202309,606,1,@2523,29.15,MTS,29.15,337046.88,94373.12,2,1,19.08003329
362715,363641,24,24,202308,319,1,@2523,24,TON,24,840000,235200,6,1,109.7178683
362715,380016,24,24,202309,449,1,@2523,30.24,TON,30.24,177187.5,49612.5,1,1,13.04983296
362715,380023,24,24,202309,449,1,@2523,24,TON,24,156000,43680,1,1,14.4766147
362715,380049,24,24,202309,464,1,@2523,35,TON,35,205078.12,57421.88,1,1,12.62796305
362715,382007,24,24,202308,468,1,@2523,35,TON,35,616328.12,172571.88,3,1,37.62686935
362715,382305,24,24,202309,483,1,@2523,30.9,TON,30.9,173812.5,48667.5,1,1,11.64596273
362715,382421,24,24,202309,461,1,@2523,30.52,TON,30.52,181212.5,50739.5,1,1,12.87960954
362715,395007,24,24,202308,692,1,@2523,33,TON,33,2232014.4,0,16,1,97.74104046
362715,395007,24,24,202309,692,1,@2523,34.14,TON,34.14,569078.32,0,4,1,24.08809357
362715,410206,24,27,202308,962,4,@2523,29.82,TON,29.82,245661.07,68785.1,2,1,8.563545863
362715,410206,24,27,202309,962,1,@2523,32.18,TON,32.18,804610.68,225291,6,1,25.99110125
362715,410206,24,27,202309,962,4,@2523,32.2,TON,32.2,402555.39,112715.52,3,1,12.99555113
362715,410206,24,27,202309,962,1,@2523,34.1,TON,34.1,712562.45,199517.5,5,1,21.7216835
365560,361315,24,24,202309,354,1,@2523,15,MTS,15,191718.9,53681.32,2,1,36.10525424
365560,380054,24,24,202308,308,1,@2523,25,MTS,25,144531.25,40468.76,1,1,18.77029221
365560,382345,24,24,202309,321,1,@2523,29.47,MTS,29.47,172675.93,48349.28,1,1,18.2535204
365560,382355,24,24,202309,342,1,@2523,29.52,MTS,29.52,175275,0,1,1,17.36111111
365560,382415,24,24,202308,329,1,@2523,29.37,MTS,29.37,176679.05,49470.14,1,1,18.28458934
365560,382421,24,24,202309,322,1,@2523,35.78,MTS,35.78,212443.75,59484.26,1,1,18.43944099
365560,382481,24,24,202309,316,1,@2523,35.57,MTS,35.57,422393.76,118270.28,2,1,37.57911481
370511,363430,24,24,202309,423,1,@2523,35.81,MTS,35.81,204229.09,57184.16,1,1,13.48257714
370511,364004,24,24,202308,575,1,@2523,27,MTS,27,601170,0,3,1,38.72270531
370511,382355,24,24,202309,512,1,@2523,35,MTS,35,202342,0,1,1,11.29140625
370511,383246,24,24,202308,637,1,@2523,35,MTS,35,227500,63700,1,1,10.20408163
370511,384170,24,24,202309,475,1,@2523,29.87,MTS,29.87,170352,47698,1,1,12.00655472
370511,388320,24,24,202309,561,1,@2523,41,MTS,41,1884589.6,0,8,1,81.93511586
370511,389155,24,24,202309,711,1,@2523,35,MTS,35,242812.5,67987.5,1,1,9.757383966
380009,394730,24,24,202308,376,1,@2523,10,MTS,10,65000,18200,1,1,17.28723404
394185,361140,24,24,202308,539,1,@2523,480,BAG,24,142500,39900,1,1,11.01576994
413215,425003,27,27,202308,566,1,@2523,9,TON,9,38531.08,0,1,1,7.564012564
424001,400006,27,27,202309,340,1,@2523,33.92,MTS,33.92,225907,63254.02,1,1,19.58821795
424001,400074,27,27,202309,325,1,@2523,34.04,MTS,34.04,231472,64812.16,1,1,20.92307692
431515,411042,27,27,202309,348,1,@2523,6,MTS,6,64800,0,2,1,31.03448276
441904,431109,27,27,202309,597,1,@2523,2.5,TON,2.5,15039.06,4210.94,1,1,10.07642211
442908,414005,27,27,202308,627,2,@2523,260.6,MTS,260.6,1409040.75,0,1,1,8.62346095
442908,431001,27,27,202309,569,1,@2523,35.01,TON,35.01,177785.16,49779.84,1,1,8.924648694
442908,431509,27,27,202308,373,1,@2523,6,MTS,6,35625,9975,1,1,15.91823056
442908,444401,27,27,202308,431,1,@2523,18,MTS,18,444375,124425,4,1,57.27958237
442908,481115,27,23,202309,317,1,@2523,31,TON,31,159843.75,44756.25,1,1,16.26577287
442908,481335,27,23,202309,320,1,@2523,15,TON,15,78750,22050,1,1,16.40625
442908,505303,27,36,202309,304,1,@2523,25,TON,25,138671.87,38828.13,1,1,18.24629868
442916,401403,27,27,202309,940,1,@2523,30,MTS,30,612000,0,3,1,21.70212766
442917,431203,27,27,202309,512,1,@2523,30.32,MTS,30.32,161075,45101,1,1,10.37597656
